#Wavelength,Intensity
#nm,
370.29,1904.16875
370.51,1827.32427727273
370.73,1892.65201969697
370.95,1960.77182294372
371.16,1948.8907
371.38,1887.39929090909
371.6,1846.64156363637
371.82,1933.09436536797
372.03,1875.02055555556
372.25,1804.32061818182
372.47,1848.05947424242
372.69,1924.03765281385
372.9,1918.53198888889
373.12,1881.51435
373.34,1853.12304069264
373.55,1942.48862222223
373.77,1927.05273333334
373.99,1868.16840454545
374.21,1943.98791298701
374.42,1907.67994444444
374.64,1875.76770757576
374.86,1912.02737965368
375.07,1883.64765555556
375.29,1870.39584545455
375.51,1855.12284090909
375.73,1833.80177186147
375.94,1881.76121111111
376.16,1870.59111515151
376.38,1868.5570030303
376.59,1907.49830555555
376.81,1899.56655454545
377.03,1876.94172878788
377.25,1848.01484329004
377.46,1864.87589444444
377.68,1913.27056666667
377.9,1928.01834588745
378.11,1925.94731666667
378.33,1871.43042272727
378.55,1847.05267099567
378.76,1858.24652222222
378.98,1938.66847727273
379.2,1950.3124017316
379.41,1867.16718888889
379.63,1784.4337
379.85,1794.47368030303
380.07,1846.41056580087
380.28,1842.59555555555
380.5,1903.94647272727
380.72,1893.37494025974
380.93,1885.68157777778
381.15,1893.83313787879
381.37,1840.94492077922
381.58,1839.13421666667
381.8,1914.50588181818
382.02,1882.20598398269
382.23,1814.93117222222
382.45,1894.58323787879
382.67,1863.51092943723
382.88,1877.40801111111
383.1,1920.9462060606
383.32,1826.40953160173
383.53,1851.08085
383.75,1919.81987272727
383.97,1907.39435974027
384.18,1871.67580555556
384.4,1855.5820530303
384.62,1876.69105627706
384.83,1906.68833888889
385.05,1924.90816363636
385.26,1898.29245
385.48,1858.96654242424
385.7,1971.40920735931
385.91,1896.95417222223
386.13,1856.56588181818
386.35,1899.07157099567
386.56,1884.89753888889
386.78,1908.84661212121
387,1910.71704502164
387.21,1898.73118888888
387.43,1969.08434588745
387.64,1846.79929444445
387.86,1844.5554439394
388.08,1918.92329437229
388.29,1899.40537777778
388.51,1823.85939545454
388.73,1913.8882961039
388.94,1883.31991111111
389.16,1869.71167056277
389.37,1862.59286111111
389.59,1902.2126
389.81,1882.83443982684
390.02,1879.59273333333
390.24,1848.5313530303
390.46,1812.70573593073
390.67,1910.12708333334
390.89,1907.76416580087
391.1,1882.77861666667
391.32,1890.39682878788
391.54,1837.19894025974
391.75,1834.52855
391.97,1884.07495021645
392.18,1889.94746111111
392.4,1929.47485757576
392.62,1937.60240995671
392.83,1872.39012222222
393.05,1890.46272640693
393.26,1892.98061666667
393.48,1831.9347
393.7,1873.62778311688
393.91,1898.60375
394.13,1881.48449220779
394.34,1875.43984444445
394.56,1860.48042878788
394.78,1846.53802900433
394.99,1909.50907222222
395.21,1861.28226883117
395.42,1859.00890555556
395.64,1944.44555324675
395.85,1888.9685
396.07,1932.06772575758
396.29,1920.78581428571
396.5,1901.869
396.72,1885.35769047619
396.93,1840.44778888889
397.15,1866.55744935065
397.36,1915.28838888889
397.58,1860.12627272727
397.8,1826.68248874459
398.01,1836.18407222222
398.23,1870.33977619048
398.44,1882.15363888889
398.66,1880.5185038961
398.87,1879.75809444444
399.09,1861.06621818182
399.31,1865.98803506494
399.52,1848.0163
399.74,1900.58092251082
399.95,1876.18204444445
400.17,1843.23237705628
400.38,1902.37695
400.6,1847.2600982684
400.81,1868.40005
401.03,1809.81075411256
401.24,1866.66032222223
401.46,1912.52310151515
401.68,1852.79285844156
401.89,1906.7001
402.11,1856.03612121212
402.32,1855.78221111111
402.54,1902.43548354979
402.75,1899.01656111111
402.97,1920.05576450216
403.18,1889.52844444444
403.4,1887.77349393939
403.61,1882.55535555555
403.83,1872.61527662338
404.04,1843.82583333333
404.26,1862.60598874459
404.47,1888.54514444444
404.69,1883.8203965368
404.9,1892.22733888889
405.12,1902.61438528139
405.33,1893.18996111111
405.55,1836.2720034632
405.76,1858.52089444445
405.98,1866.23554242424
406.2,1885.17357619048
406.41,1862.37244444444
406.63,1901.0282978355
406.84,1884.81093333334
407.06,1899.54755974026
407.27,1878.53897777778
407.49,1879.29158008658
407.7,1881.18314444444
407.92,1890.19668658009
408.13,1891.38485
408.35,1928.10080865801
408.56,1916.35207777778
408.78,1892.56519090909
408.99,1956.87562698413
409.2,1863.81266111112
409.42,1824.92411774892
409.63,1946.98962222222
409.85,1917.81322813853
410.06,1877.93155555555
410.28,1834.85997965368
410.49,1916.91461666667
410.71,1910.97038484849
410.92,1871.58482777778
411.14,1883.18605714286
411.35,1890.75611666667
411.57,1883.01562164502
411.78,1807.02033333333
412,1890.41368095238
412.21,1864.69273333334
412.43,1877.06166103896
412.64,1873.37920555555
412.86,1870.28651255411
413.07,1868.65757777778
413.29,1878.94321818182
413.5,1812.56482539683
413.71,1833.26095
